crop,cost_per_acre
Arhar,9339.028733306353
Arhar,6689.065155807365
Arhar,7912.545528126265
Arhar,9782.132739781466
Arhar,10226.734115742613
Cotton,13402.193443949818
Cotton,20570.145690004047
Cotton,18112.79643868879
Cotton,17025.673816268718
Cotton,17813.913395386484
Gram,5103.541076487252
Gram,6828.47834884662
Gram,8748.858761634965
Gram,7559.421286928369
Gram,10830.469445568595
Groundnut,7006.960744637799
Groundnut,12316.717927964386
Groundnut,12300.145690004047
Groundnut,12187.15095103197
Groundnut,13226.815054633751
Maize,8036.30109267503
Maize,8365.65762849049
Maize,8017.114528530959
Maize,8516.839336301093
Maize,15298.199109672196
Moong,3345.6009712666933
Moong,3709.2634560906513
Moong,3184.3949817887496
Moong,5345.738567381626
Moong,6220.740590853906
Paddy,11389.92310805342
Paddy,10485.248887090247
Paddy,13373.58154593282
Paddy,18329.113719142046
Paddy,18798.138405503843
Rapeseed And Mustard,7165.491703763659
Rapeseed And Mustard,7794.350465398624
Rapeseed And Mustard,9130.028328611897
Rapeseed And Mustard,7723.006879805746
Rapeseed And Mustard,11132.148927559692
Sugarcane,18308.17887494941
Sugarcane,35113.62606232295
Sugarcane,37006.32537434237
Sugarcane,34723.5734520437
Sugarcane,36028.033184945365
Wheat,9101.477134763254
Wheat,14335.685957102389
Wheat,12910.86199919061
Wheat,12090.7972480777
