date,market,crop,price
2022-01-01,Kolar,Tomato,10
2022-02-01,Kolar,Tomato,12
2022-03-01,Kolar,Tomato,11
2022-04-01,Kolar,Tomato,14
2022-05-01,Kolar,Tomato,16
2022-06-01,Kolar,Tomato,18

2022-01-01,Kolar,Onion,14
2022-02-01,Kolar,Onion,13
2022-03-01,Kolar,Onion,13
2022-04-01,Kolar,Onion,12
2022-05-01,Kolar,Onion,11
2022-06-01,Kolar,Onion,10

2022-01-01,Kolar,Chilli,30
2022-02-01,Kolar,Chilli,32
2022-03-01,Kolar,Chilli,31
2022-04-01,Kolar,Chilli,33
2022-05-01,Kolar,Chilli,35
2022-06-01,Kolar,Chilli,36
